id,time,side,grade,pattern,entry,sl,tp1,rng10,body_p,htf,result,exit,pips
1780579855,2026-06-04 13:30,LONG,A+,zone-bounce rejection,4504.81,4501.81,4508.56,69,0,"4495.1 (1H+1HEMA+4H+4HEMA, x10)",rejected,,"Duplicate of the active LONG already running from 4503.41 — same x10 support zone-bounce, entry only 1.4p higher. The 26p bear stab to 4502 (held above our 4500.41 SL) re-triggered the bounce on recovery, but we're already positioned for this exact move. Not stacking a second entry on the identical thesis."
1780581197,2026-06-04 13:53,SHORT,C-into-zone,support-trendline break,4507.83,4511.33,4505.17,83,33,EMA50,rejected,,"Counter-trend C-into-zone SHORT (regime UP, needs A+). Shorting straight into the EMA50 + 4502/4495 x10 support that just produced a +77p long bounce — selling into stacked buyers. Negative R:R: 35p risk for +27p to TP1, and TP2 (4503.4) sits on the x10 support wall. Just a pullback into the coil after the failed 4514 breakout, not a real breakdown. The with-trend play here is a LONG off support, not a short into it."
1780581296,2026-06-04 13:54,SHORT,A+,momentum impulse,4499.03,4502.53,4497.83,165,40,round 4500,rejected,,"Negative R:R dealbreaker: 35p risk (SL 4502.53) for only +12p TP1 / +20p TP2 (~0.4:1). Entry 4499 is already INSIDE the 4495-4503 x10 support (floor ~4495 just 4p below, TP2 sits in the wall) — shorting into the major support that held all day and gave +77p long. RSI 34.8 chasing the bottom of a 40p breakdown impulse into oversold. Counter-trend (regime UP). 'A+ rejection at round 4500' grade is structurally misleading — this is a breakdown exhausting INTO support, the mirror of the overbought longs I reject. If it wicks 4495 and reclaims, THAT's the long."
1780581372,2026-06-04 13:56,LONG,A+,zone-bounce rejection,4499.65,4496.65,4500.85,161,9,round 4500,rejected,,"Same zone-bounce label as the +77p winner but inverted structure. Negative R:R dealbreaker: 30p risk (SL 4496.65) for +12p TP1 / +20p TP2, room only 4p — price bounces straight into the freshly-broken 4500/4502 now overhead resistance. Falling-knife catch mid 4514->4499 dump (-150p in 10min), RSI 36.7 still low, only a 9p bull bounce, no base. SL sits INSIDE the 4486-4503 zone so a flush to the 4486 floor stops us first. Winner had room (TP 84p to 4511) off a healthy pullback + reset RSI; this is a dead-cat into supply. Wait for a base + reclaim of 4502 with real room."
1780581647,2026-06-04 14:00,SHORT,A+,PDH liq sweep,4495.78,4499.28,4490.78,167,51,prior-day high,rejected,,"Chasing the exhausted tail of the 4514->4495 dump. Entry 4495.78 is at the LOW of a 51p strong bear candle, RSI 33.6 oversold, after 160p of flush — mirror of the overbought-long chase. The GOOD short was 13p higher at 4507 (failed-breakout top) 5min ago; taking it here is revenge-trading the miss. Shorting INSIDE the x10 major support (entry = zone center 4495.1, floor 4486 only 10p below, TP2 4487 targets the floor) — selling into the exact zone that gave +77p long, at highest snapback probability. Deep chop ER 0.23. Positive paper R:R but -EV from this oversold-at-support location. Don't chase the bottom."
1780581713,2026-06-04 14:01,LONG,A+,zone-bounce rejection,4498.74,4495.74,4499.94,171,7,round 4500,rejected,,"Cramped zone-bounce: 30p risk (SL 4495.74) for +12p TP1 / +20p TP2, room only 13p — bounce runs into the broken 4500/4502 overhead resistance. ~0.4:1 R:R. Deep chop (ER 0.24), small 7-10p bounce candles after the 160p flush, high whipsaw. Real bounce off the x10 but no room to a target (vs the +77p winner's 84p room to 4511). Need a reclaim of 4502 with room above or a clean base, not a wiggle inside the zone."
1780581932,2026-06-04 14:05,LONG,A+,zone-bounce rejection,4497.57,4494.57,4502.57,90,11,"4495.1 (1H+1HEMA+4H+4HEMA, x10)",rejected,,"Closest call of the day, but reject. The '124p room' is misleading — TP1 (4502.57) lands exactly at the 4502 zone-top resistance it just broke down through; to bank even TP1 price must reclaim the whole lower zone + the broken 4500/4502 overhead, so the realistic first test is a stall at 4502, not +50p. RSI 39.6 sub-40 = aftermath of a violent 160p flush, not the winner's reset-to-45-49 off a healthy pullback. Chop ER 0.31 = where these bounces round-trip. Weaker than the +77p winner on every axis (that had RSI 45 + clear room to 4511). Want a CONFIRMED reclaim of 4502 with room above (fires its own signal), not an anticipatory long under the resistance it just broke."
1780581977,2026-06-04 14:06,LONG,A+,zone-bounce rejection,4496.62,4493.62,4501.62,87,12,prior-day high,rejected,,"Re-trigger of the bounce I rejected 90s ago, 1p lower entry (4496.62). Same profile: TP1 4501.62 lands at the broken 4500/4502 overhead resistance, RSI 39 sub-40 post-flush, chop ER 0.33. No change in structure — price still basing UNDER the resistance it broke. Same call: want a confirmed reclaim of 4502 with room, not repeated anticipatory longs into overhead in chop."
1780582017,2026-06-04 14:06,LONG,A+,zone-bounce rejection,4499,4496.0,4500.2,87,23,round 4500,rejected,,"Cramped: room collapsed to 10p (price now right under the 4500/4502 overhead). 30p risk (SL 4496) for +12p TP1 / +20p TP2 = 0.4:1 into resistance 10p away. RSI improved to 44 but structure is the dealbreaker — same trapped 4495-4502 pocket, long caps at the broken overhead. Only a held reclaim ABOVE 4502 with room to 4510 makes the long viable."
1780582212,2026-06-04 14:10,SHORT,A+,support-trendline break,4488.67,4492.17,4487.47,116,37,round 4490,rejected,,"Shorting the absolute bottom. RSI 28.4 deeply oversold, selling the low of the sustained 4514->4488 breakdown. Negative R:R into the floor: 35p risk for +12p TP1 / +20p TP2, TP2 (4486.67) sits right at the 4486 x10 zone floor (next major support) — room 25p is into the wall. Extreme chop ER 0.14 = enormous snapback risk (oversold + at support + chop = where violent reversals fire). Counter-trend. The good short was 4507 (the top) 17min ago; chasing 4488 at RSI 28 into the floor is the worst end. If it breaks 4486 and RETESTS from below with room to 4474, that's a short — not this oversold knife."
1780582355,2026-06-04 14:12,LONG,A+,zone-bounce rejection,4490.5,4487.5,4493.74,118,11,"4495.1 (1H+1HEMA+4H+4HEMA, x10)",rejected,,"ER 0.06 = extreme chop (most directionless reading of the day, pure whipsaw) — textbook environment where bounce trades round-trip; the range filter exists to kill exactly this. RSI 32 oversold, still in the down-move's grip. Marginal R:R: TP1 +32p for 30p risk (~1:1), and TP2 (4495.9) runs into the 4495/PDH overhead. Room improved to 62p but a knife-bounce in zero-trend noise with targets into resistance is low-EV. Want the chop to resolve into a held reclaim, not catch a bounce in pure whipsaw."
1780582577,2026-06-04 14:16,LONG,A+,zone-bounce rejection,4490.15,4486.65,4493.6,143,25,"4495.1 (1H+1HEMA+4H+4HEMA, x10)",rejected,,"Sharpest bounce yet (25p bull off the 4486 floor, SL cleanly below it, RSI lifting to 38) but ER 0.01 = most extreme chop of the session (zero trend, pure whipsaw) — a single candle here reverses next bar, not a base. Only 1:1 R:R to TP1 (35p/+35p), TP2 (4495.9) into the 4495/PDH overhead. RSI 38 still sub-40. Constructive signs building (RSI higher lows 28->38, floor defended) but extreme chop is the whipsaw-in-a-box that loses; the trade is the RESOLUTION (held reclaim of 4495->4502 as chop lifts), not a knife in ER 0.01."
1780582627,2026-06-04 14:17,LONG,A+,momentum impulse,4493.41,4489.91,4494.9,131,34,"4495.1 (1H+1HEMA+4H+4HEMA, x10)",rejected,,"RSI reset to 45 (good) but cramped + chasing. Negative R:R: 35p risk (SL 4489.91) for +15p TP1 / +25p TP2 (~0.43:1), both TPs land AT the 4495/PDH resistance immediately overhead. Chasing a 34p momentum-impulse candle into that resistance in extreme chop (ER 0.03). Still a bounce INTO the 4495 overhead, not a reclaim THROUGH it. Want a held reclaim above 4495->4502 with room, not the impulse chase into 4495."
1780582944,2026-06-04 14:22,LONG,A+,zone-bounce rejection,4486.6,4483.6,4491.6,93,1,"4495.1 (1H+1HEMA+4H+4HEMA, x10)",rejected,,"Floor is cracking (nextS slipped 4486->4484 asia-low, then 4474 below) — buying here is worse, not better. Extreme chop ER 0.05 + RSI 34 oversold, the same un-tradeable whipsaw 30+min running. Not a real bounce — a 1p bull candle grinding at the 4486 floor as it gives way. 101p room / good paper R:R is illusory in this chop (TP2 4495.9 back at the 4495/PDH overhead, immediate tape is dead-floor noise). Knife catch at a breaking floor. Want chop resolution + a real reclaim, or a clean break-and-retest of 4484/4474 for a short."
1780583173,2026-06-04 14:26,LONG,A+,zone-bounce rejection,4486.32,4483.32,4491.32,93,13,"4495.1 (1H+1HEMA+4H+4HEMA, x10)",rejected,,"Same floor-bounce in extreme chop I've rejected repeatedly: ER 0.01 (pure whipsaw), RSI 38 sub-40, TP2 (4495.9) at the 4495/PDH overhead, price still grinding the cracking 4486 floor. No structural change. Holding for chop resolution + held reclaim of 4495->4502, or a clean break-retest below 4484/4474."
1780583479,2026-06-04 14:31,SHORT,A+,support-trendline break,4482.54,4486.04,4477.54,72,39,Asian high,rejected,,"The floor break, but the break not the retest. RSI 32.7 oversold, chasing the 39p breakdown candle ~320p down from the 4514 high — late in an extended decline at oversold, where short-squeeze snapbacks fire (not the fresh-top short I missed at 4514). ER 0.12 still chop: this 4484-4495 band has faked out all session, so a break candle in chop is more likely a stop-sweep that reverses than a clean leg to 4466. Counter-trend (regime UP). 163p room/good paper R:R is real but the entry is wrong — want the RETEST of 4484 from below (break, bounce back to 4484, rejection with RSI recovered = confirmation + better entry), not chasing the oversold break low."
1780583999,2026-06-04 14:39,SHORT,A+,break-and-retest,4479.12,4482.12,4474.12,79,28,round 4480,rejected,,"Clean break-retest of 4480 + ER cleared to 0.47 (best-structured short since 4507) BUT location is the dealbreaker: shorting INTO the x14 major support zone (4466-4486, 14 touches). Entry 4479 inside the zone, RSI 32 oversold, ~350p down from the high; TP1 (4474) and TP2 (4469) sit deeper INSIDE the x14 support where buyers stack — same trap as shorting into the x10 that then gave +77p long. Counter-trend (30m UP), deeply extended. Chart shows price declining straight into the support band at oversold = where reversals fire. The clean short was 4507 (the top), not selling into the next big support. Want a bounce-and-reject off x14 for a short, or a clean break of 4466 — not this oversold short into the zone."
1780584256,2026-06-04 14:44,SHORT,C-into-zone,support-trendline break,4474.42,4477.92,4469.97,118,24,"4476.4 (15m+15mEMA+1H+1HEMA, x14)",rejected,,"RSI 26.5 extreme oversold, C-into-zone (worst grade), shorting INTO the x14 support (4466-4486), counter-trend, chasing the 24p breakdown candle. TP1/TP2 (4470/4467) target the 4466 floor inside the support. Same chase-the-bottom-into-support trap, now at RSI 26.5 — peak snapback risk. Want a bounce-reject off x14 or a clean break-retest of 4466, not selling the oversold low into the zone."
1780584465,2026-06-04 14:47,LONG,A+,zone-bounce rejection,4473.75,4470.75,4478.75,104,9,"4476.4 (15m+15mEMA+1H+1HEMA, x14)",rejected,,"Closest long since the cramped-rejects — finally has room (102p, R:R 1.66/3.15) and it's an x14 major-support bounce at extreme oversold (RSI 28.5), legit mean-reversion family (like the +77p x10 winner). But reject on confirmation+trend: only a weak 9p bounce candle (no proof the knife stopped), 'with-trend' is the LAGGING 30m regime while the live 1m/15m broke down hard (4514->4473) so this fades active momentum, and RSI 28 isn't a floor in a downtrend (can wick the 4466 zone-bottom, stopping us at 4470.75, before bouncing). Setup is brewing at major support — want the CONFIRMED version (stronger reclaim candle, RSI lifting to 35-40, a higher low), not the first oversold tick. Same discipline that approved the clean winner and skipped the messy knives."
1780584500,2026-06-04 14:48,SHORT,C-into-zone,VWAP rejection,4470.22,4473.47,4468.29,119,24,"4476.4 (15m+15mEMA+1H+1HEMA, x14)",rejected,,"RSI 22.4 extreme oversold — shorting the absolute low. C-into-zone into the 4466 x14 floor (TP1 4468/TP2 4467 sit right at the floor), counter-trend, poor R:R (32p risk for +19/+32p). Textbook bottom-chase at peak snapback risk. Want a bounce-reject off x14 or a clean break-retest of 4466, never selling RSI 22."
1780584727,2026-06-04 14:52,LONG,A+,zone-bounce rejection,4469.85,4466.35,4474.85,157,33,round 4470,SL,4466.4,-35
1780584897,2026-06-04 14:54,LONG,A+,zone-bounce rejection,4460.11,4457.11,4461.31,183,18,round 4460,rejected,,"Cramped knife: room 1p, 30p risk for +12p TP1 / +20p TP2 (~0.4:1) into the broken 4460/4466 overhead. RSI 23 extreme oversold catching the bounce off a 73p capitulation candle. Weak x3 zone (vs x14/x10). No room to a target. Same cramped-bounce-in-freefall pattern — want a based higher-low reclaim with room, not a 1p-room knife at RSI 23."
1780585242,2026-06-04 15:00,LONG,A+,zone-bounce rejection,4468.03,4465.03,4469.23,109,19,"4476.4 (15m+15mEMA+1H+1HEMA, x14)",rejected,,"RSI reset to 44 (good) but cramped: room 20p, 30p risk for +12p TP1 / +20p TP2 (~0.4:1), TP2 at the 4470 round overhead. Bounce capped by immediate resistance — same no-room problem. Want a reclaim above 4470/4476 with real room, not a bounce that tops out at 4470."
1780587790,2026-06-04 15:43,SHORT,A+,zone-bounce rejection,4474.83,4477.83,4469.83,76,22,"4476.1 (15m+15mEMA+1H+1HEMA, x14)",SL,4477.8,-30
1780588018,2026-06-04 15:46,SHORT,A+,VWAP rejection,4471.07,4474.07,4469.87,75,14,"4476.1 (15m+15mEMA+1H+1HEMA, x14)",rejected,,"Duplicate of the active SHORT from 4474.83 (same x14 rejection thesis, lower re-entry 4471.07). Also cramped: room 11p, 30p risk for +12p TP1 (~0.4:1), and stale — price just snapped back to 4474 on a 21p bull, invalidating this lower entry. Not stacking the position."
1780589332,2026-06-04 16:08,LONG,A+,resistance-trendline break,4480.33,4476.83,4482.05,50,14,"4476.1 (15m+15mEMA+1H+1HEMA, x14)",rejected,,"Right type (with-trend breakout) but cramped — fails R:R. Room only 37p, 35p risk (SL 4476.83) for +17p TP1 / +29p TP2 (~0.5:1), capped at the 4484 resistance just overhead. RSI 65 chasing the breakout candle into that wall, ER 0.34 still chop-ish. With-trend doesn't override bad R:R: the 4484 cap is too close. Want a break THROUGH 4484 with room to 4499/4486, not a long pinned under it."
1780590000,2026-06-04 16:20,LONG,A+,Asian-range breakout,4484.41,4480.91,4485.61,58,19,"4476.1 (15m+15mEMA+1H+1HEMA, x14)",rejected,,"Broke 4484 but cramped — fails R:R. Room only 16p, 35p risk (SL 4480.91) for +12p TP1 / +20p TP2 (~0.34:1), RSI 68 chasing the breakout candle straight into the 4486-4499 x8 zone 2p overhead. With-trend but no room (the x8 wall is immediate). Want a break THROUGH 4486 with room to 4499, not a long pinned under the x8."
1780594179,2026-06-04 17:29,SHORT,A+,zone-bounce rejection,4476.46,4479.62,4471.46,53,12,"4476.1 (15m+15mEMA+1H+1HEMA, x14)",rejected,,"Counter-trend SHORT in ER 0.04 = dead chop, the exact setup my recalibration says to skip (counter-trend fades in choppy tape = poor hit rate, lost twice today). 126p paper room is meaningless in zero-trend whipsaw at the x14. Standing aside until trend resolves."
1780594429,2026-06-04 17:33,LONG,A+,momentum impulse,4481.23,4477.73,4482.43,65,19,"4476.1 (15m+15mEMA+1H+1HEMA, x14)",rejected,,"With-trend but cramped — fails R:R. Room 28p, 35p risk (SL 4477.73) for +12p TP1 / +20p TP2 (~0.34:1), RSI 65 chasing the impulse into the 4484 cap. The 4484/4486 cluster keeps capping every long this hour. Want a break THROUGH 4486 with room to 4499, not another long pinned under 4484."
1780596575,2026-06-04 18:09,LONG,A+,CRT sweep+reclaim,4477.43,4474.43,4480.89,39,5,"4476.1 (15m+15mEMA+1H+1HEMA, x14)",rejected,,"First CRT fired correctly (structurally valid: LONG sweep+reclaim of range low, with-trend, room 66p, tight 30p stop, R:R 1.17/1.93) — the setup works. But reject on dead tape: ATR 10p, ER 0.23, 2+hr sub-40p coil capped at 4484. TP1 needs +35p / TP2 +58p = 3.5-6x current ATR in a market asleep; the reversal can't travel. Opposite-end target sits under the proven 4484 wall. Consistent with raise-the-bar-in-chop: CRT shines when volatility returns (the 4514-sweep type), not ATR-10 sleep."
1780596708,2026-06-04 18:11,LONG,A+,momentum impulse,4478.72,4475.72,4479.92,28,8,"4476.1 (15m+15mEMA+1H+1HEMA, x14)",rejected,,"Cramped: room 13p, 30p risk for +12p TP1 (~0.4:1), chasing the impulse into the 4480/4484 cap, ATR still low. Same no-room problem capping every long. Need a break THROUGH 4484 with room."
1780597670,2026-06-04 18:27,SHORT,A+,CRT sweep+reclaim,4479.67,4482.67,4474.67,36,8,"4476.1 (15m+15mEMA+1H+1HEMA, x14)",rejected,,"CRT bearish fired (sweep+reclaim of range high) but two strikes: counter-trend (SHORT in UP regime) AND dead tape (ATR ~10p, ER 0.24). 158p room is meaningless when TP1 needs +50p in 10p-range tape. Same as the long CRT — structure valid, volatility absent — plus counter-trend-in-chop is exactly what the recalibration says to skip. Wait for volatility to return."
1780597718,2026-06-04 18:28,SHORT,A+,momentum impulse,4478.55,4481.55,4473.55,28,9,"4476.1 (15m+15mEMA+1H+1HEMA, x14)",rejected,,"Counter-trend SHORT (UP regime) in dead chop (ATR 10p, ER 0.23), chasing a small impulse. 147p paper room is meaningless — TP1 needs +50p in 10p-range tape. Counter-trend-in-chop = skip per recalibration. Wait for volatility."
1780602581,2026-06-04 19:49,LONG,C-into-zone,CRT sweep+reclaim,4477.7,4474.7,4481.0,36,3,"4476.1 (15m+15mEMA+1H+1HEMA, x14)",rejected,,"CRT long but dead tape (ER 0.11, ATR 9.5p), C-into-zone with TP2 (4483) at the 4484 cap. Can't reach +33-55p targets in 9p-range tape. Same as prior CRT rejects — structure fires but volatility absent. Wait for the tape to wake up."
1780603077,2026-06-04 19:57,LONG,A+,momentum impulse,4478.94,4475.94,4480.14,23,10,"4476.1 (15m+15mEMA+1H+1HEMA, x14)",rejected,,"Cramped: room 11p, 30p risk for +12p TP1 (~0.4:1), chasing a 10p impulse into the 4480/4484 cap, dead chop ER 0.10. Same no-room problem. Need a break through 4484 with room."
1780603121,2026-06-04 19:58,LONG,A+,momentum impulse,4480.61,4477.61,4482.16,36,15,"4476.1 (15m+15mEMA+1H+1HEMA, x14)",rejected,,"Broke 4480 but cramped: room 34p, 30p risk for +16p TP1 (~0.5:1), RSI 65 chasing into the 4484 cap. Same wall capping every long. Need a break THROUGH 4484 with room to 4499."
1780603151,2026-06-04 19:59,LONG,A+,momentum impulse,4481.21,4477.72,4482.41,44,21,"4476.1 (15m+15mEMA+1H+1HEMA, x14)",rejected,,"Still capped under 4484 (price 4481), room 28p, RSI 67 chasing the impulse into the wall. 21p bull + volume is pushing but hasn't broken 4484. Want price THROUGH 4484 holding, with room to 4499 — not another cramped entry pinned under the cap."
1780603476,2026-06-04 20:04,SHORT,A+,momentum impulse,4479.2,4482.2,4474.2,52,12,"4476.1 (15m+15mEMA+1H+1HEMA, x14)",rejected,,"Counter-trend SHORT (UP regime) in chop (ER 0.15), chasing a 12p impulse. 153p paper room meaningless in this dead coil at the x14. Counter-trend-in-chop = skip per recalibration."
1780604555,2026-06-04 20:22,LONG,C-into-zone,CRT sweep+reclaim,4478.06,4475.06,4479.26,23,10,"4476.1 (15m+15mEMA+1H+1HEMA, x14)",rejected,,"CRT long but dead tape (ER 0.04, ATR 9.5p), C-into-zone, cramped (room 19p, +12p TP1 for 30p risk). Can't reach target in 9p-range tape. Same CRT-in-dead-chop reject — wait for volatility."
1780605517,2026-06-04 20:38,LONG,C-into-zone,CRT sweep+reclaim,4475.64,4472.64,4480.18,29,2,"4476.1 (15m+15mEMA+1H+1HEMA, x14)",rejected,,"CRT long, dead tape (ER 0.14, ATR 8.4p), C-into-zone with TP2 at the 4484 cap. Can't reach +45p target in 8p-range tape. Same CRT-in-dead-chop reject — wait for volatility."
